742	RP11-725P16.2
743	LYPD1
744	ACMSD
745	MCM6
746	DARS
747	CXCR4
748	KYNU
749	ARHGAP15
750	LYPD6B
751	LYPD6
752	RND3
753	TNFAIP6
754	FMNL2
755	PRPF40A
756	ARL6IP6
757	RPRM
758	NR4A2
759	CYTIP
760	UPP2
761	RP11-1152H14.1
762	RBMS1
763	PSMD14
764	SLC4A10
765	DPP4
766	FAP
767	GCA
768	COBLL1
769	AC013463.2
770	SCN3A
771	GALNT3
772	SCN7A
773	STK39
774	NOSTRIN
775	SPC25
776	DHRS9
777	SSB
778	METTL5
779	GORASP2
780	CYBRD1
781	HAT1
782	AC078883.3
783	AC093818.1
784	PDK1
785	CDCA7
786	CIR1
787	WIPF1
788	CHRNA1
789	CHN1
790	HOXD8
791	UBE2E3
792	ITGA4
793	SSFA2
794	PDE1A
795	NCKAP1
796	CALCRL
797	TFPI
798	GULP1
799	COL3A1
800	COL5A2
801	WDR75
802	SLC40A1
803	ORMDL1
804	C2orf88
805	HIBCH
806	INPP1
807	GLS
808	STAT4
809	MYO1B
810	NABP1
811	SDPR
812	AC098617.1
813	STK17B
814	RP11-347P5.1
815	HECW2
816	ANKRD44
817	AC013264.2
818	HSPD1
819	RFTN2
820	SGOL2
821	AOX1
822	TRAK2
823	STRADB
824	NOP58
825	BMPR2
826	ICA1L
827	CYP20A1
828	RAPH1
829	CD28
830	CTLA4
831	ICOS
832	NRP2
833	NDUFS1
834	KLF7
835	AC079767.4
836	FZD5
837	MAP2
838	BARD1
839	ATIC
840	FN1
841	PECR
842	IGFBP2
843	IGFBP5
844	TNS1
845	GPBAR1
846	SLC11A1
847	CTDSP1
848	CYP27A1
849	WNT6
850	WNT10A
851	TUBA4A
852	DES
853	GMPPA
854	CHPF
855	EPHA4
856	SCG2
857	SERPINE2
858	IRS1
859	MFF
860	CCL20
861	PID1
862	SP140
863	SP100
864	ITM2C
865	C2orf72
866	PSMD1
867	HTR2B
868	B3GNT7
869	PTMA
870	EIF4E2
871	EFHD1
872	C2orf82
873	INPP5D
874	UGT1A1
875	HJURP
876	TRPM8
877	SPP2
878	ARL4C
879	ACKR3
880	COL6A3
881	RAB17
882	RAMP1
883	FAM132B
884	HES6
885	AGXT
886	PASK
887	PPP1R7
888	SEPT2
889	BOK
890	DTYMK
891	NEU4
892	PDCD1
893	IL5RA
894	EGOT
895	BHLHE40
896	EDEM1
897	LMCD1
898	SSUH2
899	OXTR
900	CAMK1
901	EMC3
902	FANCD2
903	SEC13
904	VGLL4
905	TIMP4
906	TMEM40
907	FBLN2
908	WNT7A
909	SLC6A6
910	FGD5
911	MRPS25
912	SH3BP5
913	ANKRD28
914	GALNT15
915	SGOL1
916	RARB
917	EOMES
918	CMC1
919	RBMS3
920	AC116035.1
921	TGFBR2
922	STT3B
923	OSBPL10
924	ZNF860
925	CMTM8
926	CMTM7
927	CRTAP
928	LRRFIP2
929	ITGA9
930	CSRNP1
931	CX3CR1
932	CCK
933	VIPR1
934	SS18L2
935	NKTR
936	RP4-613B23.1
937	RP11-70C1.1
938	SNRK
939	RP11-188P20.3
940	SNRK-AS1
941	KIF15
942	CLEC3B
943	SLC6A20
944	CXCR6
945	CCR1
946	CCR2
947	LTF
948	RTP3
949	PTH1R
950	CCDC12
951	NCKIPSD
952	IMPDH2
953	QARS
954	LAMB2
955	GPX1
956	MST1
957	GMPPB
958	FAM212A
959	SEMA3F
960	SLC38A3
961	IFRD2
962	HYAL1
963	HYAL2
964	TUSC2
965	MANF
966	TEX264
967	ABHD14B
968	ALAS1
969	TWF2
970	GLYCTK
971	SEMA3G
972	NISCH
973	STAB1
974	NT5DC2
975	GNL3
976	SPCS1
977	ITIH4
978	TKT
979	CACNA2D3
980	ARHGEF3
981	FLNB
982	DNASE1L3
983	ACOX2
984	FAM107A
985	FAM3D
986	PTPRG
987	THOC7
988	PSMD6
989	PRICKLE2
990	ADAMTS9
991	MAGI1
992	FAM19A1
993	FRMD4B
994	PROK2
995	ROBO2
996	RP11-6B4.1
997	GBE1
998	CADM2
999	CGGBP1
1000	CLDND1
1001	CPOX
1002	ST3GAL6
1003	COL8A1
1004	CMSS1
1005	FILIP1L
1006	NIT2
1007	TMEM45A
1008	TFG
1009	ABI3BP
1010	PCNP
1011	NXPE3
1012	NFKBIZ
1013	ALCAM
1014	BBX
1015	CD47
1016	LINC01215
1017	HHLA2
1018	KIAA1524
1019	TRAT1
1020	FLJ22763
1021	CD96
1022	PLCXD2
1023	ATG3
1024	CCDC80
1025	CD200R1
1026	NAA50
1027	TIGIT
1028	RP11-553L6.5
1029	LSAMP
1030	UPK1B
1031	ARHGAP31
1032	TIMMDC1
1033	CD80
1034	PLA1A
1035	FSTL1
1036	POLQ
